###tvboxlocal查战损###0217tang_live
⛵港•澳•台,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://107.151.203.111:2209/135/hk.php?id=fhzx
凤凰香港,http://120.84.96.120:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.73:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.89:808/hls/81/index.m3u8
凤凰香港,http://120.84.96.96:808/hls/81/index.m3u8
凤凰香港,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd
香港卫视,http://124.238.99.44:808/hls/352/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
翡翠台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=0
翡翠台无名,http://107.151.203.111:2209/135/hk.php?id=tvbfct
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://120.84.96.28:808/hls/25/index.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
财经体育资讯台,http://120.84.96.120:808/hls/86/index.m3u8
J2,http://r.jdshipin.com/Nr5jq
有线18台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=20
有线603台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=21
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
VIUTV,http://r.jdshipin.com/vSJvl
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门莲花,http://nettvpro.live/hls/lotustv.php?zgangd
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻台,rtmp://59.124.75.138/sat/tv551
TVBS新闻台,rtmp://59.124.75.150/sat/tv551
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
NOW新闻台,http://116.205.130.205:66/6/807tv.php?tid=gt&id=13
云林新闻网,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
南投新闻网,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
民视,http://107.151.203.111:2209/135/us50.php?id=msk&
民视,rtmp://59.124.75.138/sat/tv051
民视,rtmp://59.124.75.150/sat/tv051
台视,http://107.151.203.111:2209/135/us50.php?id=tsk
台视,rtmp://59.124.75.138/sat/tv071
台视,rtmp://59.124.75.150/sat/tv071
中视,rtmp://59.124.75.138/sat/tv091
中视,rtmp://59.124.75.150/sat/tv091
华视,rtmp://59.124.75.138/sat/tv111
华视,rtmp://59.124.75.150/sat/tv111
东森财经新闻,rtmp://59.124.75.138/sat/tv571
东森财经新闻,rtmp://59.124.75.150/sat/tv571
东森洋片,http://107.151.203.111:2209/135/hk.php?id=dsypt
TVBS欢乐台,rtmp://59.124.75.138/sat/tv421
